date,price,news,risk
30.08.19,10,,Niedrig
02.09.19,10.0409177,,Niedrig
03.09.19,9.87691265,,Niedrig
04.09.19,9.98147635,,Niedrig
05.09.19,10.2676208,,Niedrig
06.09.19,10.187671,,Niedrig
09.09.19,10.3469455,,Niedrig
10.09.19,10.3558628,,Niedrig
11.09.19,10.3409943,,Niedrig
12.09.19,10.2607625,,Niedrig
13.09.19,10.4709209,,Niedrig
16.09.19,11.0121078,,Niedrig
17.09.19,10.6749243,,Niedrig
18.09.19,10.8921948,,Niedrig
19.09.19,11.1055581,,Niedrig
20.09.19,11.256361,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
23.09.19,10.6397863,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
24.09.19,10.4229858,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
25.09.19,10.1935162,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
26.09.19,10.3231822,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
27.09.19,10.3350446,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
30.09.19,10.4567031,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
01.10.19,10.4029795,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
02.10.19,9.79270315,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
04.10.19,9.69743216,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
07.10.19,9.8985343,,Niedrig
08.10.19,9.66053992,,Niedrig
09.10.19,9.84116435,,Niedrig
10.10.19,9.9540151,,Niedrig
11.10.19,10.0966103,,Niedrig
14.10.19,9.99989382,"Langfristig steigt der Aktienwert deutlich stärker als der Wert von Bargeld.  〰💰️",Niedrig
15.10.19,10.1719789,"Langfristig steigt der Aktienwert deutlich stärker als der Wert von Bargeld.  〰💰️",Niedrig
