date,price,news,risk
30.08.19,100,,Niedrig
02.09.19,100.4091773,,Niedrig
03.09.19,98.76912653,,Niedrig
04.09.19,99.81476351,,Niedrig
05.09.19,102.6762077,,Niedrig
06.09.19,101.8767102,,Niedrig
09.09.19,103.4694555,,Niedrig
10.09.19,103.5586277,,Niedrig
11.09.19,103.4099433,,Niedrig
12.09.19,102.6076248,,Niedrig
13.09.19,104.7092089,,Niedrig
16.09.19,110.1210784,,Niedrig
17.09.19,106.749243,,Niedrig
18.09.19,108.9219484,,Niedrig
19.09.19,111.0555811,,Niedrig
20.09.19,112.5636104,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
23.09.19,106.3978635,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
24.09.19,104.2298583,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
25.09.19,101.9351624,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
26.09.19,103.2318224,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
27.09.19,103.3504456,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
30.09.19,104.5670314,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
01.10.19,104.0297953,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
02.10.19,97.92703154,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
04.10.19,96.97432162,"Die Wahrscheinlichkeit, dass eine Aktie am nächsten Tag fällt oder steigt liegt jeweils bei 50%.  😈😇",Niedrig
07.10.19,98.98534296,,Niedrig
08.10.19,96.60539922,,Niedrig
09.10.19,98.41164351,,Niedrig
10.10.19,99.54015104,,Niedrig
11.10.19,100.9661026,,Niedrig
