date,price,news,risk
09.03.20,100,,Hoch
10.03.20,115.1392405,,Hoch
11.03.20,103.5684107,,Hoch
12.03.20,68.97289155,,Hoch
13.03.20,84.15657138,,Hoch
16.03.20,58.53634759,,Hoch
17.03.20,67.75117328,,Hoch
18.03.20,65.17017621,,Hoch
19.03.20,70.99120165,,Hoch
20.03.20,76.89867654,,Hoch
23.03.20,78.05980961,,Hoch
24.03.20,103.3282166,,Hoch
25.03.20,103.6432417,,Hoch
26.03.20,107.9146878,,Hoch
27.03.20,95.8815254,,Hoch
30.03.20,104.4783625,"Investieren kann manchmal zu bitteren Verlusten führen, aber auch zu gewaltigen Gewinnen.",Hoch
31.03.20,117.5260091,"Investieren kann manchmal zu bitteren Verlusten führen, aber auch zu gewaltigen Gewinnen.",Hoch
01.04.20,119.6869339,"Investieren kann manchmal zu bitteren Verlusten führen, aber auch zu gewaltigen Gewinnen.",Hoch
02.04.20,136.4828229,"Investieren kann manchmal zu bitteren Verlusten führen, aber auch zu gewaltigen Gewinnen.",Hoch
03.04.20,120.2177439,"Investieren kann manchmal zu bitteren Verlusten führen, aber auch zu gewaltigen Gewinnen.",Hoch
06.04.20,125.8659051,"Investieren kann manchmal zu bitteren Verlusten führen, aber auch zu gewaltigen Gewinnen.",Hoch
07.04.20,124.9912842,"Investieren kann manchmal zu bitteren Verlusten führen, aber auch zu gewaltigen Gewinnen.",Hoch
08.04.20,122.9312059,"Investieren kann manchmal zu bitteren Verlusten führen, aber auch zu gewaltigen Gewinnen.",Hoch
09.04.20,123.8741107,"Investieren kann manchmal zu bitteren Verlusten führen, aber auch zu gewaltigen Gewinnen.",Hoch
14.04.20,118.8786568,"Investieren kann manchmal zu bitteren Verlusten führen, aber auch zu gewaltigen Gewinnen.",Hoch
15.04.20,102.6556407,,Hoch
16.04.20,98.81336285,,Hoch
17.04.20,104.5956184,,Hoch
20.04.20,99.08234952,,Hoch
21.04.20,89.03357222,,Hoch
22.04.20,97.41476767,"Völlig verallgemeinert tendieren Aktien generell und langfristig nach oben.",Hoch
23.04.20,98.38787273,"Völlig verallgemeinert tendieren Aktien generell und langfristig nach oben.",Hoch
24.04.20,94.96507844,"Völlig verallgemeinert tendieren Aktien generell und langfristig nach oben.",Hoch
27.04.20,98.2815371,"Völlig verallgemeinert tendieren Aktien generell und langfristig nach oben.",Hoch
28.04.20,102.9577329,"Völlig verallgemeinert tendieren Aktien generell und langfristig nach oben.",Hoch
29.04.20,108.6709943,"Völlig verallgemeinert tendieren Aktien generell und langfristig nach oben.",Hoch
30.04.20,104.1970254,"Völlig verallgemeinert tendieren Aktien generell und langfristig nach oben.",Hoch
04.05.20,92.61292976,"Völlig verallgemeinert tendieren Aktien generell und langfristig nach oben.",Hoch
05.05.20,103.740447,"Völlig verallgemeinert tendieren Aktien generell und langfristig nach oben.",Hoch
