date,price,news,risk
22.09.21,10,"Bitte beachten Sie die Anweisungen hier um das Experiment besser zu verstehen.",Mittel
23.09.21,10.34531031,"Bitte beachten Sie die Anweisungen hier um das Experiment besser zu verstehen.",Mittel
24.09.21,10.03843108,"Bitte beachten Sie die Anweisungen hier um das Experiment besser zu verstehen.",Mittel
27.09.21,10.02908286,"Bitte beachten Sie die Anweisungen hier um das Experiment besser zu verstehen.",Mittel
28.09.21,9.331407527,"Bitte beachten Sie die Anweisungen hier um das Experiment besser zu verstehen.",Mittel
29.09.21,9.490533846,,Mittel
30.09.21,9.375478722,,Mittel
01.10.21,9.787753023,,Mittel
04.10.21,9.295906137,"Um Aktien zu kaufen oder verkaufen müssen Sie die entsprechenden Schaltflächen betätigen.",Mittel
05.10.21,9.60137728,"Um Aktien zu kaufen oder verkaufen müssen Sie die entsprechenden Schaltflächen betätigen.",Mittel
06.10.21,9.488777927,"Um Aktien zu kaufen oder verkaufen müssen Sie die entsprechenden Schaltflächen betätigen.",Mittel
07.10.21,9.851811037,"Um Aktien zu kaufen oder verkaufen müssen Sie die entsprechenden Schaltflächen betätigen.",Mittel
08.10.21,9.580589585,"Um Aktien zu kaufen oder verkaufen müssen Sie die entsprechenden Schaltflächen betätigen.",Mittel
11.10.21,9.56539436,,Mittel
12.10.21,9.896387371,,Mittel
13.10.21,10.39977671,,Mittel
14.10.21,10.67828564,"Ganz oben sehen Sie immer den aktuellen Preis der Aktie und die Risikoklasse von jener.",Mittel
15.10.21,10.66866557,"Ganz oben sehen Sie immer den aktuellen Preis der Aktie und die Risikoklasse von jener.",Mittel
18.10.21,10.23275194,"Ganz oben sehen Sie immer den aktuellen Preis der Aktie und die Risikoklasse von jener.",Mittel
19.10.21,10.00051037,"Ganz oben sehen Sie immer den aktuellen Preis der Aktie und die Risikoklasse von jener.",Mittel
20.10.21,10.42553593,"Ganz oben sehen Sie immer den aktuellen Preis der Aktie und die Risikoklasse von jener.",Mittel
21.10.21,10.49520841,,Mittel
22.10.21,10.77482644,,Mittel
25.10.21,10.44646304,,Mittel
26.10.21,10.56373219,"Unterhalb von der Preisgrafik sehen Sie die aktuellen Daten: Bargeld, Anzahl an Aktien, Aktienwert, Gesamt.",Mittel
27.10.21,10.67846876,"Unterhalb von der Preisgrafik sehen Sie die aktuellen Daten: Bargeld, Anzahl an Aktien, Aktienwert, Gesamt.",Mittel
28.10.21,10.8194598,"Unterhalb von der Preisgrafik sehen Sie die aktuellen Daten: Bargeld, Anzahl an Aktien, Aktienwert, Gesamt.",Mittel
29.10.21,11.07103764,"Unterhalb von der Preisgrafik sehen Sie die aktuellen Daten: Bargeld, Anzahl an Aktien, Aktienwert, Gesamt.",Mittel
01.11.21,11.24068371,"Unterhalb von der Preisgrafik sehen Sie die aktuellen Daten: Bargeld, Anzahl an Aktien, Aktienwert, Gesamt.",Mittel
02.11.21,11.34916231,,Mittel
03.11.21,11.39870754,,Mittel
04.11.21,11.60394055,,Mittel
05.11.21,12.00804958,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
08.11.21,12.14392567,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
09.11.21,12.01070117,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
10.11.21,11.67777833,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
11.11.21,12.01272106,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
12.11.21,12.49846094,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
15.11.21,12.50885323,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
16.11.21,12.77569953,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
17.11.21,12.63911721,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
18.11.21,12.70181643,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
19.11.21,12.94974192,,Mittel
22.11.21,12.72057415,,Mittel
23.11.21,12.44802786,,Mittel
24.11.21,12.58628167,"Auf der nachfolgenden Seite sehen Sie Ihr Ergebnis dieser Testrunde.",Mittel
25.11.21,12.89907067,"Auf der nachfolgenden Seite sehen Sie Ihr Ergebnis dieser Testrunde.",Mittel
26.11.21,11.19279785,"Auf der nachfolgenden Seite sehen Sie Ihr Ergebnis dieser Testrunde.",Mittel
29.11.21,11.73217041,"Auf der nachfolgenden Seite sehen Sie Ihr Ergebnis dieser Testrunde.",Mittel
30.11.21,11.46115778,"Auf der nachfolgenden Seite sehen Sie Ihr Ergebnis dieser Testrunde.",Mittel
