date,price,news,risk
22.09.21,100,"Bitte beachten Sie die Anweisungen hier um das Experiment besser zu verstehen.",Mittel
23.09.21,103.4531031,"Bitte beachten Sie die Anweisungen hier um das Experiment besser zu verstehen.",Mittel
24.09.21,100.3843108,"Bitte beachten Sie die Anweisungen hier um das Experiment besser zu verstehen.",Mittel
27.09.21,100.2908286,"Bitte beachten Sie die Anweisungen hier um das Experiment besser zu verstehen.",Mittel
28.09.21,93.31407527,"Bitte beachten Sie die Anweisungen hier um das Experiment besser zu verstehen.",Mittel
29.09.21,94.90533846,,Mittel
30.09.21,93.75478722,,Mittel
01.10.21,97.87753023,,Mittel
04.10.21,92.95906137,"Um Aktien zu kaufen oder verkaufen müssen Sie die entsprechenden Schaltflächen betätigen.",Mittel
05.10.21,96.0137728,"Um Aktien zu kaufen oder verkaufen müssen Sie die entsprechenden Schaltflächen betätigen.",Mittel
06.10.21,94.88777927,"Um Aktien zu kaufen oder verkaufen müssen Sie die entsprechenden Schaltflächen betätigen.",Mittel
07.10.21,98.51811037,"Um Aktien zu kaufen oder verkaufen müssen Sie die entsprechenden Schaltflächen betätigen.",Mittel
08.10.21,95.80589585,"Um Aktien zu kaufen oder verkaufen müssen Sie die entsprechenden Schaltflächen betätigen.",Mittel
11.10.21,95.6539436,,Mittel
12.10.21,98.96387371,,Mittel
13.10.21,103.9977671,,Mittel
14.10.21,106.7828564,"Ganz oben sehen Sie immer den aktuellen Preis der Aktie und die Risikoklasse von jener.",Mittel
15.10.21,106.6866557,"Ganz oben sehen Sie immer den aktuellen Preis der Aktie und die Risikoklasse von jener.",Mittel
18.10.21,102.3275194,"Ganz oben sehen Sie immer den aktuellen Preis der Aktie und die Risikoklasse von jener.",Mittel
19.10.21,100.0051037,"Ganz oben sehen Sie immer den aktuellen Preis der Aktie und die Risikoklasse von jener.",Mittel
20.10.21,104.2553593,"Ganz oben sehen Sie immer den aktuellen Preis der Aktie und die Risikoklasse von jener.",Mittel
21.10.21,104.9520841,,Mittel
22.10.21,107.7482644,,Mittel
25.10.21,104.4646304,,Mittel
26.10.21,105.6373219,"Unterhalb von der Preisgrafik sehen Sie die aktuellen Daten: Bargeld, Anzahl an Aktien, Aktienwert, Gesamt.",Mittel
27.10.21,106.7846876,"Unterhalb von der Preisgrafik sehen Sie die aktuellen Daten: Bargeld, Anzahl an Aktien, Aktienwert, Gesamt.",Mittel
28.10.21,108.194598,"Unterhalb von der Preisgrafik sehen Sie die aktuellen Daten: Bargeld, Anzahl an Aktien, Aktienwert, Gesamt.",Mittel
29.10.21,110.7103764,"Unterhalb von der Preisgrafik sehen Sie die aktuellen Daten: Bargeld, Anzahl an Aktien, Aktienwert, Gesamt.",Mittel
01.11.21,112.4068371,"Unterhalb von der Preisgrafik sehen Sie die aktuellen Daten: Bargeld, Anzahl an Aktien, Aktienwert, Gesamt.",Mittel
02.11.21,113.4916231,,Mittel
03.11.21,113.9870754,,Mittel
04.11.21,116.0394055,,Mittel
05.11.21,120.0804958,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
08.11.21,121.4392567,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
09.11.21,120.1070117,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
10.11.21,116.7777833,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
11.11.21,120.1272106,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
12.11.21,124.9846094,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
15.11.21,125.0885323,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
16.11.21,127.7569953,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
17.11.21,126.3911721,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
18.11.21,127.0181643,"Probieren Sie nun Aktien zu kaufen und wieder zu verkaufen.",Mittel
19.11.21,129.4974192,,Mittel
22.11.21,127.2057415,,Mittel
23.11.21,124.4802786,,Mittel
24.11.21,125.8628167,"Auf der nachfolgenden Seite sehen Sie ihr Ergebnis dieser Testrunde.",Mittel
25.11.21,128.9907067,"Auf der nachfolgenden Seite sehen Sie ihr Ergebnis dieser Testrunde.",Mittel
26.11.21,111.9279785,"Auf der nachfolgenden Seite sehen Sie ihr Ergebnis dieser Testrunde.",Mittel
29.11.21,117.3217041,"Auf der nachfolgenden Seite sehen Sie ihr Ergebnis dieser Testrunde.",Mittel
30.11.21,114.6115778,"Auf der nachfolgenden Seite sehen Sie ihr Ergebnis dieser Testrunde.",Mittel
