date,price,news,risk
26.07.19,10,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
29.07.19,9.995410739,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
30.07.19,8.806246368,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
31.07.19,8.556116092,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
01.08.19,8.208708288,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
02.08.19,7.704832319,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
05.08.19,7.585298792,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
06.08.19,7.068922279,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
07.08.19,7.056476729,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
08.08.19,7.449000093,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
09.08.19,7.443004889,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
12.08.19,6.816130264,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
13.08.19,6.707330264,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
14.08.19,6.231756016,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
15.08.19,5.881891886,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
16.08.19,6.564750035,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
19.08.19,7.016150364,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
20.08.19,6.697739267,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
21.08.19,6.46003168,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
22.08.19,6.633480646,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
23.08.19,6.790857695,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
26.08.19,6.493891911,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
27.08.19,6.320904552,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
28.08.19,6.612035222,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
29.08.19,6.664666801,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
30.08.19,6.847912875,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
02.09.19,6.729018273,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
03.09.19,6.657473558,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
04.09.19,6.696779159,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
05.09.19,4.458606239,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
06.09.19,4.937799177,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
09.09.19,5.190506758,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
10.09.19,5.706938683,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
11.09.19,5.859468445,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
12.09.19,5.591971193,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
13.09.19,6.435344687,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
16.09.19,6.063816909,"Aktien sind volatil und können sich deshalb auch in alle Richtungen bewegen.",Hoch
